Period_End,Midea_Adjusted_Close,Market_Adjusted_Close,Midea_Simple_Return,Market_Simple_Return
2021-10-31,53.934288024902,3563.889892578125,-0.0143957591527339,0.0046654124717265
2021-11-30,58.732509613037,3639.780029296875,0.0889642148593739,0.0212941866910066
2021-12-31,58.247119903564,3361.439941406250,-0.0082644128893977,-0.0764716784119490
2022-01-31,53.090824127197,3462.310058593750,-0.0885244761441268,0.0300080081589384
2022-02-28,45.356365203857,3252.199951171875,-0.1456835347820048,-0.0606849484494791
2022-03-31,45.427982330322,3047.060058593750,0.0015789873404308,-0.0630772694354805
2022-04-30,43.351139068604,3186.429931640625,-0.0457172684143733,0.0457391289855953
2022-05-31,49.608676910400,3398.620117187500,0.1443454076695487,0.0665918253653934
2022-06-30,45.164516448975,3253.239990234375,-0.0895843376240915,-0.0427762215076374
2022-07-31,43.735157012939,3202.139892578125,-0.0316478410136417,-0.0157074479010596
2022-08-31,40.506771087646,3024.389892578125,-0.0738167219643872,-0.0555097547149600
2022-09-30,33.006736755371,2893.479980468750,-0.1851550773091046,-0.0432847340320205
2022-10-31,39.323848724365,3151.340087890625,0.1913885645773865,0.0891176400605687
2022-11-30,42.552238464355,3089.260009765625,0.0820975017633487,-0.0196995806208126
2022-12-31,45.345241546631,3255.669921875000,0.0656370424464272,0.0538672405635421
2023-01-31,43.094406127930,3279.610107421875,-0.0496377423943485,0.0073533822903913
2023-02-28,44.203395843506,3272.860107421875,0.0257339598156670,-0.0020581714834713
2023-03-31,46.643165588379,3323.270019531250,0.0551941700024725,0.0154024035414957
2023-04-30,42.166145324707,3204.560058593750,-0.0959844857697078,-0.0357208292554705
2023-05-31,50.879154205322,3202.060058593750,0.2066351764791241,-0.0007801382886539
2023-06-30,51.224567413330,3291.040039062500,0.0067888944579131,0.0277883546343685
2023-07-31,48.798046112061,3119.879882812500,-0.0473702643829078,-0.0520079227898903
2023-08-31,47.908611297607,3110.475097656250,-0.0182268530262587,-0.0030144702711349
2023-09-30,45.697978973389,3018.770996093750,-0.0461426926045997,-0.0294823455206568
2023-10-31,44.618564605713,3029.673095703125,-0.0236206150014721,0.0036114364499600
2023-11-30,47.174613952637,2974.935058593750,0.0572866780792083,-0.0180673080495081
2023-12-31,50.300594329834,2788.548095703125,0.0662640372708878,-0.0626524476062782
2024-01-31,54.082851409912,3015.170898437500,0.0751930892759813,0.0812691031162698
2024-02-29,55.455860137939,3041.166992187500,0.0253871364440614,0.0086217646115752
2024-03-31,60.257083892822,3104.824951171875,0.0865773922348401,0.0209320826998014
2024-04-30,58.395145416260,3086.812988281250,-0.0308999101230036,-0.0058012812876380
2024-05-31,58.160697937012,2967.403076171875,-0.0040148453707380,-0.0386838828794299
2024-06-30,57.493427276611,2938.749023437500,-0.0114728791790472,-0.0096562725045566
2024-07-31,58.386127471924,2842.214111328125,0.0155269956514779,-0.0328489814337587
2024-08-31,68.584526062012,3336.497070312500,0.1746716049114920,0.1739077140650054
2024-09-30,64.400566101074,3279.823974609375,-0.0610044306080720,-0.0169858071231026
2024-10-31,63.237354278564,3326.456054687500,-0.0180621366073731,0.0142178606044487
2024-11-30,67.827095031738,3351.762939453125,0.0725795822031980,0.0076077616386856
2024-12-31,66.618789672852,3250.601074218750,-0.0178144937258675,-0.0301816885805416
2025-01-31,65.870368957520,3320.896972656250,-0.0112343787542124,0.0216255076622698
2025-02-28,70.784721374512,3335.746093750000,0.0746064200757932,0.0044714187811352
2025-03-31,66.384353637695,3279.031005859375,-0.0621655019807834,-0.0170022196823939
2025-04-30,71.289688110352,3347.487060546875,0.0738929311480232,0.0208769159441233
2025-05-31,68.269119262695,3444.426025390625,-0.0423703473492634,0.0289587272752334
2025-06-30,66.368560791016,3573.208007812500,-0.0278392118164943,0.0373885174111905
2025-07-31,69.696907043457,3857.927001953125,0.0501494414339021,0.0796816176159105
2025-08-31,68.704078674316,3882.777099609375,-0.0142449415799984,0.0064413084134742
2025-09-30,72.240463256836,3954.790039062500,0.0514727022144252,0.0185467611469043
2025-10-31,75.996627807617,3888.595947265625,0.0519952998837645,-0.0167377006473312
2025-11-30,74.369354248047,3968.840087890625,-0.0214124442954192,0.0206357620367901
2025-12-31,73.836441040039,4117.948242187500,-0.0071657635513462,0.0375697057565560
2026-01-31,74.835647583008,4162.880859375000,0.0135327018595996,0.0109114089213591
2026-02-28,72.656433105469,3891.861083984375,-0.0291200056112546,-0.0651038990895634
2026-03-31,77.176643371582,4112.159179687500,0.0622134898853581,0.0566048198918729
2026-04-30,76.938735961914,4068.569091796875,-0.0030826348396952,-0.0106002919599862
2026-05-31,75.529998779297,4094.396972656250,-0.0183098560823060,0.0063481485201884
2026-06-30,87.599998474121,3832.261962890625,0.1598040499125848,-0.0640228613679256
2026-07-31,87.730003356934,3986.298095703125,0.0014840740305595,0.0401945728930055
2026-08-31,86.260002136230,3888.111083984375,-0.0167559690465571,-0.0246311262633838
2026-09-11,86.260002136230,3888.110595703125,0.0000000000000000,-0.0000001255831532
